iter	Passed	Remaining
0	0	52
1	0	44
2	1	43
3	1	41
4	2	39
5	2	38
6	2	37
7	3	36
8	3	35
9	4	37
10	4	39
11	5	40
12	5	39
13	6	38
14	6	37
15	6	36
16	7	35
17	7	35
18	8	34
19	8	33
20	8	33
21	9	33
22	9	32
23	10	32
24	10	32
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	13	28
33	14	27
34	14	27
35	15	26
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	23
45	19	22
46	19	22
47	19	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	24	17
58	24	17
59	24	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	30	10
75	31	9
76	31	9
77	32	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	40	0
98	40	0
99	40	0
